id,date,payment_type,final_price,engine_no,chassis_no,status,customer_id,product_id
23,2025-07-27 0:00:00,CASH,30000,IBM,IBMF,ACTIVE,3,7
5,2025-07-02 0:00:00,CASH,1570000,SUPPLIED,SUPPIED,ACTIVE,10,2
117,2025-11-26 0:00:00,TRANSFER,1420000,SUPPLIED-33,SUPPLIED-33,ACTIVE,10,8
90,2025-11-16 0:00:00,TRANSFER,980000,SUPPLIED-22,SUPPLIED-22,ACTIVE,11,13
91,2025-11-16 0:00:00,TRANSFER,980000,SUPPLIED-23,SUPPLIED-23,ACTIVE,11,13
10,2025-07-12 0:00:00,TRANSFER,1550000,SUPLIED,SUPLIED,ACTIVE,16,8
11,2025-07-12 0:00:00,TRANSFER,1550000,SH,SH,ACTIVE,16,8
12,2025-07-12 0:00:00,TRANSFER,1220000,SB,SB,ACTIVE,16,1
13,2025-07-12 0:00:00,TRANSFER,1220000,SBO,SB0,ACTIVE,16,1
14,2025-07-12 0:00:00,TRANSFER,1220000,SBX,SBX,ACTIVE,16,1
15,2025-07-12 0:00:00,TRANSFER,1220000,SM,SM,ACTIVE,17,1
16,2025-07-12 0:00:00,TRANSFER,1220000,SMU,SMU,ACTIVE,17,1
17,2025-07-12 0:00:00,TRANSFER,1220000,SMUH,SMUH,ACTIVE,17,1
18,2025-07-12 0:00:00,TRANSFER,1220000,SMUHI,SMUHI,ACTIVE,17,1
19,2025-07-12 0:00:00,TRANSFER,1220000,SMUHID,SMUHID,ACTIVE,17,1
20,2025-07-12 0:00:00,TRANSFER,1220000,SMUHIDE,SMUHIDE,ACTIVE,17,1
31,2025-08-15 0:00:00,TRANSFER,1200000,dm,dm,ACTIVE,17,1
32,2025-08-15 0:00:00,TRANSFER,1200000,dmu,dmu,ACTIVE,17,1
33,2025-08-15 0:00:00,TRANSFER,1200000,dmuh,dmuh,ACTIVE,17,1
26,2025-07-29 0:00:00,TRANSFER,33000,ISMRF,ISIMRF,ACTIVE,24,6
46,2025-08-11 0:00:00,LOAN,290000,-----,------,ACTIVE,26,5
34,2025-08-26 0:00:00,CASH,1550000,KAMAL,SUPPLIED,ACTIVE,30,8
37,2025-09-04 0:00:00,TRANSFER,1200000,SUPPLIED-1,SUPLIED-1,ACTIVE,30,1
38,2025-09-04 0:00:00,TRANSFER,1200000,SUPPLIED-2,SUPLIED-2,ACTIVE,30,1
39,2025-09-04 0:00:00,TRANSFER,1200000,SUPPLIED-3,SUPLIED-3,ACTIVE,30,1
40,2025-09-04 0:00:00,TRANSFER,1200000,SUPPLIED-4,SUPLIED-4,ACTIVE,30,1
42,2025-09-04 0:00:00,TRANSFER,1200000,SUPPLIED-6,SUPLIED-6,ACTIVE,30,1
70,2025-10-23 0:00:00,TRANSFER,1140000,SUPPLIED-10,SUPPIED-10,ACTIVE,30,1
71,2025-10-23 0:00:00,TRANSFER,1140000,SUPPLIED-11,SUPPLIED-11,ACTIVE,30,1
72,2025-11-07 0:00:00,TRANSFER,1000000,SUPPLIED-12,SUPPLIED-12,ACTIVE,30,13
73,2025-11-07 0:00:00,TRANSFER,1000000,SUPPLIED-13,SUPPIED-13,ACTIVE,30,13
74,2025-11-07 0:00:00,TRANSFER,1000000,SUPPLIED-14,SUPPLIED-14,ACTIVE,30,13
76,2025-11-05 0:00:00,TRANSFER,165000,eng-1234567,cha-1234567,ACTIVE,30,5
88,2025-11-13 0:00:00,TRANSFER,980000,SUPPLIED-20,SUPPLIED-20,ACTIVE,30,13
89,2025-11-13 0:00:00,TRANSFER,980000,SUPPLIED-21,SUPPLIED-21,ACTIVE,30,13
99,2025-11-17 0:00:00,TRANSFER,1040000,SUPPLIED-26,SUPPLIED-26,ACTIVE,30,13
109,2025-11-21 0:00:00,TRANSFER,1040000,SUPPLIED-30,SUPLIED-30,ACTIVE,30,13
110,2025-11-21 0:00:00,TRANSFER,1040000,SUPPLIED-31,SUPPLIED-31,ACTIVE,30,13
131,2025-11-29 0:00:00,TRANSFER,1165000,SUPPLIED-34,SUPPLIED-34,ACTIVE,30,1
135,2025-11-28 0:00:00,TRANSFER,1090000,SUPPLIED-38,SUPPLIED-38,ACTIVE,30,13
136,2025-11-28 0:00:00,TRANSFER,1100000,SUPPLIED-39,SUPPLIED-39,ACTIVE,30,13
137,2025-11-28 0:00:00,TRANSFER,1165000,SUPPLIED-40,SUPPLIED-40,ACTIVE,30,1
60,2025-10-22 0:00:00,TRANSFER,1570000,SUPPLIED-7,SUPLIED-7,ACTIVE,56,12
63,2025-11-05 0:00:00,TRANSFER,1160000,SUPPLIED-8,SUPPLIED-8,ACTIVE,59,1
64,2025-11-04 0:00:00,TRANSFER,1580000,SUPPLIED-9,SUPPLIED-9,ACTIVE,59,12
78,2025-11-10 0:00:00,TRANSFER,1163000,SUPPLIED-15,SUPPLIED-15,ACTIVE,59,1
79,2025-11-10 0:00:00,TRANSFER,1163000,SUPPLIED-16,SUPPLIED-16,ACTIVE,59,1
83,2025-11-12 0:00:00,TRANSFER,1170000,SUPPLIED-19,SUPPLIED-19,ACTIVE,59,1
93,2025-11-16 0:00:00,TRANSFER,1585000,SUPPLIED-24,SUPPLIED-24,ACTIVE,59,12
98,2025-11-17 0:00:00,CASH,1170000,SUPPLIED-25,SUPPLIED-25,ACTIVE,59,1
100,2025-11-18 0:00:00,TRANSFER,1170000,SUPPLIED-27,SUPPLIED-27,ACTIVE,59,1
102,2025-11-19 0:00:00,TRANSFER,1170000,SUPPLIED-28,SUPPIED-28,ACTIVE,59,1
103,2025-11-19 0:00:00,TRANSFER,1170000,SUPPLIED-29,SUPLIED-29,ACTIVE,59,1
75,2025-10-20 0:00:00,CASH,180000,eng-123456,cha-123456,ACTIVE,66,3
92,2025-11-17 0:00:00,TRANSFER,1170000,ADJUSTMENT-1,ADJUSTMENT-1,ACTIVE,74,1
112,2025-11-20 0:00:00,TRANSFER,1040000,SUPPLIED-32,SUPPLIED-32,ACTIVE,85,14
132,2025-11-29 0:00:00,TRANSFER,1080000,SUPPLIED-35,SUPLIED-35,ACTIVE,103,14
133,2025-11-27 0:00:00,TRANSFER,1055000,SUPPLIED-36,SUPPLIED-36,ACTIVE,104,14
134,2025-11-27 0:00:00,TRANSFER,1055000,SUPPLIED-37,SUPPLIED-37,ACTIVE,104,14
